id,values,provinsi,tahun,dimensi,data_title
63006288071210,79.66,KALIMANTAN SELATAN,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
63006288081170,68.0,KALIMANTAN SELATAN,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
63006288081210,62.83,KALIMANTAN SELATAN,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
63006288091170,72.76,KALIMANTAN SELATAN,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
63006288091210,68.22,KALIMANTAN SELATAN,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
63006288101170,72.31,KALIMANTAN SELATAN,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
63006288101210,69.2,KALIMANTAN SELATAN,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
64006288071170,78.64,KALIMANTAN TIMUR,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
64006288071210,80.71,KALIMANTAN TIMUR,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
64006288081170,66.99,KALIMANTAN TIMUR,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
64006288081210,58.52,KALIMANTAN TIMUR,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
64006288091170,71.36,KALIMANTAN TIMUR,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
64006288091210,65.16,KALIMANTAN TIMUR,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
64006288101170,71.63,KALIMANTAN TIMUR,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
64006288101210,66.74,KALIMANTAN TIMUR,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
65006288071170,79.46,KALIMANTAN UTARA,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
65006288071210,82.52,KALIMANTAN UTARA,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
65006288081170,69.47,KALIMANTAN UTARA,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
65006288081210,63.8,KALIMANTAN UTARA,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
65006288091170,73.12,KALIMANTAN UTARA,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
65006288091210,71.92,KALIMANTAN UTARA,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
65006288101170,73.42,KALIMANTAN UTARA,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
65006288101210,71.68,KALIMANTAN UTARA,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
71006288071170,80.38,SULAWESI UTARA,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
71006288071210,82.49,SULAWESI UTARA,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
71006288081170,63.92,SULAWESI UTARA,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
71006288081210,58.44,SULAWESI UTARA,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
71006288091170,66.9,SULAWESI UTARA,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
71006288091210,63.94,SULAWESI UTARA,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
71006288101170,69.29,SULAWESI UTARA,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
71006288101210,66.72,SULAWESI UTARA,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
72006288071170,77.05,SULAWESI TENGAH,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
72006288071210,81.91,SULAWESI TENGAH,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
72006288081170,64.67,SULAWESI TENGAH,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
72006288081210,56.82,SULAWESI TENGAH,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
72006288091170,70.57,SULAWESI TENGAH,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
72006288091210,66.1,SULAWESI TENGAH,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
72006288101170,70.08,SULAWESI TENGAH,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
72006288101210,66.77,SULAWESI TENGAH,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
73006288071170,76.64,SULAWESI SELATAN,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
73006288071210,79.03,SULAWESI SELATAN,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
73006288081170,65.96,SULAWESI SELATAN,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
