id,values,provinsi,jenjang,tahun,data_title
1500198016741200,63.66,JAMBI,SMA / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016741210,64.51,JAMBI,SMA / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016721150,90.27,SUMATERA SELATAN,SD / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016721160,94.86,SUMATERA SELATAN,SD / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016721170,95.88,SUMATERA SELATAN,SD / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016721180,94.02,SUMATERA SELATAN,SD / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016721190,96.08,SUMATERA SELATAN,SD / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016721200,95.93,SUMATERA SELATAN,SD / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016721210,97.82,SUMATERA SELATAN,SD / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016731150,78.35,SUMATERA SELATAN,SMP / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016731160,82.41,SUMATERA SELATAN,SMP / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016731170,82.59,SUMATERA SELATAN,SMP / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016731180,84.18,SUMATERA SELATAN,SMP / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016731190,83.4,SUMATERA SELATAN,SMP / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016731200,85.02,SUMATERA SELATAN,SMP / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016731210,87.68,SUMATERA SELATAN,SMP / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016741150,48.9,SUMATERA SELATAN,SMA / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016741160,55.37,SUMATERA SELATAN,SMA / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016741170,54.15,SUMATERA SELATAN,SMA / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016741180,63.94,SUMATERA SELATAN,SMA / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016741190,58.23,SUMATERA SELATAN,SMA / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016741200,65.42,SUMATERA SELATAN,SMA / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1600198016741210,67.2,SUMATERA SELATAN,SMA / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1700198016721150,92.15,BENGKULU,SD / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
